id,text,query
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_41_28","Page 42 of 261 
 
Section VI-E:Disclosures regarding commodity risks by listed entities29 
 
1. Regulation 34(3) read with clause 9(n) of Para C of Schedule V of the LODR Regulations 
mandates listed entities to make disclosures regarding commodity price risk and hedging 
activities in the Corporate Governance Report section of the Annual Report of a listed 
entity.  
 
2. Therefore, all listed entities shall make the disclosures in the format specified in Annexure 
24 to this circular as part of the Corporate Governance Report in the Annual Report.  
 
****** 
  
                                                           
29SEBI/HO/CFD/CMD1/CIR/P/2018/141 dated November 15, 2018","""listed entities commodity risk disclosures"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_22_11,"specified at Annexure IX and the same shall be disclosed by the stock exchanges 
on their websites. RTAs and DPs shall regularly update the said details by furnishing 
current information to the Stock Exchanges which shall be disclosed by the Sto ck 
Exchanges.25 
4.4. To facilitate Intermediaries to accept ASBA forms from investors, all the SCSBs, 
having a branch in the location of broker centers of Stock Exchanges, are required 
to name at least one branch where Intermediaries can submit the ASBA forms. T he 
                                              
 
20 SEBI Circular no. SEBI/CFD/DIL/ASBA/1/2009/30/12  dated December 30, 2009 
21 SEBI Circular no. SEBI/CFD/DIL/ASBA/1/2009/30/12 dated December 30, 2009; SEBI Circular no. 
CIR/CFD/DIL/8/2010 dated October 12, 2010; SEBI Circular no. CIR/CFD/14/2012 dated October 04, 2012; 
SEBI Circular no. CIR/CFD/DIL/4/2013 dated January 23, 2013; SEBI Circular no. 
CIR/CFD/POLICYCELL/11/2015 dated November 10, 2015","""SEBI ASBA circular"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_92_18,Page 93 of 132,"""page 93"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_123_38","We communicate with those charged with governance of the Bank and such other entities included 
in the consolidated Financial Results of which we are the independent auditors r egarding, among 
other matters, the planned scope and timing of the audit and significant audit findings, including any 
significant deficiencies in internal control that we identify during our audit.  
We also provide those charged with governance with a sta tement that we have complied with 
relevant ethical requirements regarding independence, and to communicate with them all 
relationships and other matters that may reasonably be thought to bear on our independence, and 
where applicable, related safeguards.  
We also performed procedures in accordance with the circular issued by the SEBI under Regulation 
33(8) of the LODR Regulations, as amended, to the extent applicable.  
Other Matters  
 
The consolidated Financial Results include the audited Financial Results of ______ subsidiaries,","""Bank audit findings"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_257_41","Page 258 of 261 
 
Sl. 
No
. 
Circular Number Subject Date 
39.  
SEBI/HO/CFD/CMD1/
CIR/P/2020/48 
Further relaxations from compliance with certain 
provisions of the SEBI (Listing Obligations  and  
Disclosure  Requirements)  Regulations,  2015  
(LODR) and  the  SEBI circular  dated  January  22,  
2020  relating  to  Standard  Operating  Procedure 
due  to  the CoVID -19 virus pandemic 
March 26, 
2020 
40.  
SEBI/HO/CFD/CMD1/
CIR/P/2020/63 
Additional relaxations / clarifications in relation to 
compliance with certain provisions of the SEBI 
(Listing Obligations and Disclosure Requirements) 
Regulations, 2015 (‘LODR’) due to the COVID –19 
pandemic 
April 17, 2020 
41.  
SEBI/HO/CFD/CMD1/
CIR/P/2020/71 
Relaxation in  relation  to  Regulation  44(5)  of  the  
SEBI  (Listing  Obligations  and  Disclosure 
Requirements) Regulations , 2015 (‘LODR’) on 
holding of Annual General Meeting (AGM) by top 
100 listed entities by market capitalization, due to 
the COVID –19 pandemic","""SEBI relaxations COVID-19 pandemic"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_44_27,"Page 45 of 132 
 
   
                                                 BOARD OF DIRECTORS 
Sr. 
No. 
Name Designation (Independent / 
Whole time / Executive / 
Nominee) 
Experience 
& 
Educati onal 
Qualificati on 
Other Directorships 
 
1 
   Indian Companies: 
 Foreign Companies: 
 
2 
    
 
3 
    
 
4 
    
 
5","""Board of Directors members"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_240_45","Committee/Board of Directors)  
6. In case the information requested by the auditor was not provided, the n following shall be 
disclosed:  
a. Whether the inability to obtain sufficient appropriate audit evidence was due to a 
management-imposed limitation or circumstances beyond the control of the management.   
b. Whether the lack of information would have significan t impact on the financial 
statements/results.   
c. Whether the auditor has performed alternative procedures to obtain appropriate evidence for 
the purposes of audit/limited review as laid down in SA 705 (Revised)   
d. Whether the lack of information was prevalen t in the previous reported financial 
statements/results. If yes, on what basis the previous audit/limited review reports were issued.  
7. Any other facts relevant to the resignation:   
 
Declaration 
1. I/ We hereby confirm that the information given in this lette r and its attachments is correct and 
complete.","""auditor's report requirements"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular on Surveillance of Securities Market.pdf_19_41,"exchange(s). Any update (additions or deletions) in this information by listed 
company shall be updated by the designated depositories with the stock 
exchange(s) on a daily basis. The information shall be shared via system 
interface established between the depositories and stock exchange(s).","""stock exchange updates"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_97_34,"Role and responsibilities of the Stock Exchanges shall include the following: 
1. The Stock Exchanges shall provide file format/ layout in which upload/download shall be made by 
the various intermediaries interacting with the stock exchanges or amongst them.","""stock exchange file format"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_260_0","Page 261 of 261 
 
Sl. 
No
. 
Circular Number Subject Date 
74.  
SEBI/HO/CFD/CFD-
PoD-2/P/CIR/2024/52 
Industry Standards  on verification of market 
rumours May 21, 2024 
 
*****","""SEBI industry standards market rumors verification"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_56_1,"Page 57 of 132 
 
 
 
 
                                                                                                                                                                                            Annexure VI 
 
Table I: ISD for public issue of specified securities 
 
Sr. 
No. 
Particular Field Description Source for information Timeline for 
submission  
In Principle Approval Stage 
1 ISIN ISIN 
Issuer along with the 
Lead Managers 
 
Data from 1 to 
23 shall be 
submitted by 
Lead Manager 
before grant of 
in principle 
approval by 
the 
Exchange(s) 
2 Corporate Identity Number (CIN) of the Listed Entity CIN 
3 Permanent Account Number (PAN) PAN 
4 Name of the Issuer Name of Issuer 
5 Promoter(s) Name of Promoter/s 
6 Name of Company Secretary and Compliance Officer Name 
7 Email Id of Compliance Officer EMAIL ID 
8 Website  URL 
9 Registered office Address Address 
10 Registered office Region Select 
11 Corporate  Office Address Address","""ISD public issue securities"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular on Surveillance of Securities Market.pdf_1_5,"in securities and to promote the development of, and to regulate the securities market. 
 
5. This Master Circular is available on the SEBI website at https://www.sebi.gov.in/ under the 
category “LegalMaster Circulars”. 
Yours faithfully, 
 
 
 
A. Vijayan 
Deputy General Manager 
Phone: +91-22-26449631 
E-mail: vijayan@sebi.gov.in","""SEBI master circular securities market regulation"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular on Surveillance of Securities Market.pdf_16_35,"Page 17 of 28 
 
 
Details of trading in derivatives on the securities of the company by other connected persons 
as identified by the company 
 
Trading in derivatives (Specify type of contract, Futures or Options etc.) Exchange on 
which the 
trade was 
executed Type of 
Contract 
Contract 
specifications 
Buy Sell 
Notional Value Number of units 
(contracts * lot 
size) 
Notional Value Number of units 
(contracts * lot size) 
16 17 18 19 20 21 22 
Note: In case of Options, notional value shall be calculated based on premium plus strike price of options. 
 
 
Name: 
 
Signature: 
 
Place:","""derivative trading company connected persons"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_120_24","referred to as “the Group”), its associates and jointly controlled entities for the quarter ended 
_____and for the period from_____ to______ (“the Statement”), being submitted by the Bank 
pursuant to the requirement of Regulation 33 of the SEBI (Listing Obligations and Disclosure 
Requirements) Regulations, 2015, as amended (“ LODR Regulations”)95 except for the disclosures 
relating to consolidated Pillar 3 disclosure as at _________, including leverage ratio and liquidity 
coverage ratio under Basel III Capital Regulations as have been disclosed on the Bank's website 
and in respect of which a link has been provided in the Financial Results and have not been audited 
by us. Attention is drawn to the fact that the consolidated Financial Results/Financial information for 
the corresponding quarter ended ____ and the corresponding period fro m______ to______, as 
reported in these Financial Results have been approved by the Bank’s Board of Directors but have","""Bank quarterly financial results"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_53_11","7.6. If the non-compliant listed entity complies with the aforesaid requirement(s) after the date of 
suspension and pays the applicable fine, the  recognized stock exchange(s) shall revoke the 
suspension of trading of its shares by following the procedure specified at paragraph 10 below. 
 
7.7. If the non-compliant listed entity fails to comply with the aforesaid requirement(s) or fails to pay 
the applica ble fine within 6 months from the date of suspension, the recognized stock 
exchange(s) shall initiate the process of compulsory delisting of the non-compliant listed entity 
in accordance with the provisions of the Securities Contracts (Regulation) Act, 195 6, the 
Securities Contracts (Regulation) Rules, 1957 and the Securities and Exchange Board of India 
(Delisting of Equity Shares) Regulations, 2021 as amended from time to time. 
 
8. Standard operating procedure for moving the scrip to ""Z"" Category","""delisting of listed entity"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_1_2,"Page 2 of 132 
 
4. With the issuance of this Master Circular, all directions/instructions contained in the 
circulars listed out in the Appendix to this Master Circular shall stand re scinded to the 
extent they relate to ICDR Regulations.  
5. Notwithstanding such rescission, - 
 
(a) anything done or any action taken or purported to have been done or taken under 
the rescinded circulars, prior to such rescission, shall be deemed to have been 
done or taken under the corresponding provisions of this Master Circular; 
(b) any application made to the Board under the rescinded circulars, prior to such 
rescission, and pending before it shall be deemed to have been made under the 
corresponding provisions of this Master Circular; and 
(c) the previous operation of the rescinded circulars or anything duly done or 
suffered thereunder, any right, privilege, obligation or liability acquired, accrued or 
incurred under the rescinded circulars, any penalty, incurred in res pect of any","""ICDR Regulations Master Circular rescinded"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_18_10","into between two unrelated parties. The information so provided shall include but not be 
limited to the information specified above. 
 
8. Transparency, accou ntability and shareholder empowerment are the bedrock of robust 
corporate governance, therefore listed entities shall ensure compliance with the spirit of the 
law and endeavour to provide relevant and detailed information to the shareholders in order 
to enable and empower the latter for taking an informed decision.","""corporate governance transparency accounting shareholder empowerment"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_250_21","able to steer the meeting effectively  
b. Impartiality: Whether the Chairperson is impartial in conducting discussions, 
seeking views and dealing with dissent, etc.  
c. Commitment: Whether the Chairperson is sufficiently committed to the Board and 
its meetings.  
d. Ability to keep shareholders’ interests in mind : Whether the Chairperson is 
able to keep shareholders’ interest in mind during discussions and decisions.  
Different criteria may be assigned different weights depending on the organisati on’s 
requirements, circumstances, outcome of previous assessments, stage of Board’s 
maturity, etc. Instead of the questionnaire in a simple yes/no format, it is desirable that it 
provides scope for grading, additional comments, suggestions, etc.   
 
3. Method of evaluation: 
As a global best practice, the method of evaluation is generally in 2 ways:  
a. Internal assessment  
b. Assessment by external experts  
 
 
Internal assessment:","""Chairperson evaluation criteria"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_147_1","Page 148 of 261 
 
SECTION C: PRINCIPLE WISE PERFORMANCE DISCLOSURE 
This section is aimed at helping entities demonstrate their performance in integrating the Principles and 
Core Elements with key processes and decisions. The information sought is categorized as “Essential” 
and “Leadership”. While the essential indicators are expected to be disclosed by every entity that is 
mandated to file this report, t he leadership indicators may be voluntarily disclosed by entities which 
aspire to progress to a higher level in their quest to be socially, environmentally and ethically 
responsible. 
 
PRINCIPLE 1 Businesses should conduct and govern themselves with 
integrity, and in a manner that is Ethical, Transparent and Accountable. 
 
Essential Indicators 
1. Percentage coverage by training and awareness programmes on any of the Principles during the 
financial year: 
Segment Total number of 
training and 
awareness 
programmes held 
Topics / 
principles 
covered under 
the training and","""Principle Wise Performance Disclosure"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_118_16","Group’s share of net profit/(loss) after tax of Rs. _____and Rs._______ for the quarter ended 
________ and for the period from______ to______ ,respectively, as considered in the 
consolidated unaudited financial results, in respect of ____associates , whose interim financial 
statements / financial information/ financial results have not been reviewed by us. These interim 
financial statements / financial information / financial results have been reviewed by other 
auditors whose reports have been furnished to us by the Management and our conclusion on the 
Statement, in so far as it relates to the amounts and disclosures included in respect of these 
subsidiaries, jointly controlled entities and associates, is based solely on the reports of the other 
auditors and the procedures performed by us as stated in paragraph 3 above.","""Consolidated unaudited financial results subsidiaries associates"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_9_28","(Significant Beneficial Owners) Rules, 2018, as amended from time to time.  
 
6. All listed entities shall also disclose details pertaining to foreign ownership limits indicating the 
board approved limits and utilization in the format prescribed in Table VI of Annexure 2 to this 
circular. 
 
7. Holding of specified securities in dematerialized form: 
 
7.1 Regulation 31(2) of the LODR Regulations mandates the listed entities to ensure that 100% 
of shareholding of promoter(s) and promoter group is in dematerialized form and the same 
is maintained on a continuous basis in the manner specified by the Board. The listed entity 
shall take into consideration the following exemptions while arriving at compl iance with 
100% promoter(s) holding in dematerialized form:- 
 
a) promoter(s) shares which were sold in physical mode and have not been 
lodged for transfer with the listed entity; 
b) matters that are sub -judice before any Court/Tribunal, concerning","""listed entity ownership rules"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_152_13","Page 153 of 261 
 
Name of Product / 
Service 
Description of the risk / 
concern 
Action Taken 
   
   
   
 
3. Percentage of recycled or reused input material to total material (by value) used in production 
(for manufacturing industry) or providing services (for service industry).  
 
Indicate input material Recycled or re-used input material to total material 
FY _____ 
Current Financial Year 
FY _____ 
Previous Financial Year 
   
 
4. Of the products and packaging reclaimed at end of life of products , amount (in metric tonnes) 
reused, recycled, and safely disposed, as per the following format:  
 
 FY _____ 
Current Financial Year 
FY _____ 
Previous Financial Year 
Re-Used Recycled Safely 
Disposed Re-Used Recycled Safely 
Disposed 
Plastics 
(including 
packaging) 
      
E-waste        
Hazardous 
waste 
      
Other waste
  
      
 
5. Reclaimed products and their packaging materials (as percentage of products sold) for each 
product category.","""recycled materials reporting guidelines"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_137_30","in case the entity has not taken sufficient steps to address the concerns raised/ observations.  
 
E.g. In the report for the year ended 31st Mar, 2023, the PCS shall provide a list of:  
• all the observations in the report for the year ended 31st Mar, 2022 along with the actions 
taken by the listed entity on those observations.  
• the observations in the reports pertaining to the year ended 31 st Mar,2022 and earlier, 
in case the entity has not taken sufficient steps to address the concerns raised/ observations 
in those reports.)  
 
(c) I/we hereby report that, during the review period the compliance status of the listed entity with 
the following requirements:","""compliance report observations"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_26_27,"45 SEBI Circular no. CIR/CFD/POLICYCELL/11/2015  dated November 10, 2015 
46 SEBI Circular no. CIR/CFD/POLICYCELL/11/2015  dated November 10, 2015 
47 SEBI Circular no. CIR/CFD/DIL/8/2010 dated October 12, 2010 
48 SEBI Circular no. SEBI/HO/CFD/DIL2/CIR/P/2022/51 dated April 20, 2022;","""SEBI Circular"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_98_36,"price band and revision in price band/ bid period and to reset relevant data fields upon revision, if 
any. 
5. The Stock Exchange(s) shall ensure that an issue specific code is generated from the electronic 
bidding system, so that SCSBs does not face any problem in segregating the ASBA issue‐wise. 
6. The Stock Exchange(s) shall be  responsible for accurate,  timely and secured  transmission of the  
electronic bid file uploaded by SCSBs, to the Registrar to the Issue. 
7. The Stock Exchange(s) shall provide a facility of reverse confirmation to SCSBs regarding the data 
having been uploaded on their electronic bidding system. 
8. In case of withdrawal of ASBA during the bidding period, the Stock Exchange(s) shall provide the 
facility to enable SCSBs to – 
(i) delete the ASBA from the electronic bidding system or ma rk the withdrawal individually 
against the original bid uploaded; or 
(ii) upload withdrawal of the ASBA in batch mode, in the electronic bidding system.","""ASBA bidding process"""
